kreis,ags5,cluster
"Flensburg, Stadt",1001,1
"Kiel, Landeshauptstadt",1002,2
"Lübeck, Hansestadt",1003,2
"Neumünster, Stadt",1004,0
Dithmarschen,1051,1
Herzogtum Lauenburg,1053,0
Nordfriesland,1054,1
Ostholstein,1055,0
Pinneberg,1056,2
Plön,1057,1
Rendsburg-Eckernförde,1058,0
Schleswig-Flensburg,1059,0
Segeberg,1060,0
Steinburg,1061,1
Stormarn,1062,2
Hamburg,2000,2
Braunschweig,3101,2
Salzgitter,3102,2
Wolfsburg,3103,2
Gifhorn,3151,1
Goslar,3153,1
Helmstedt,3154,1
Northeim,3155,1
Peine,3157,2
Wolfenbüttel,3158,0
Göttingen,3159,2
Hannover,3241,2
Diepholz,3251,2
Hameln-Pyrmont,3252,0
Hildesheim,3254,2
Holzminden,3255,1
Nienburg/Weser,3256,0
Schaumburg,3257,2
Celle,3351,0
Cuxhaven,3352,0
Harburg,3353,2
Lüchow-Dannenberg,3354,1
Lüneburg,3355,1
Osterholz,3356,2
Rotenburg (Wümme),3357,0
Heidekreis,3358,1
Stade,3359,0
Uelzen,3360,1
Verden,3361,0
Delmenhorst,3401,0
Emden,3402,0
"Oldenburg, Stadt",3403,2
"Osnabrück, Stadt",3404,2
Wilhelmshaven,3405,0
Ammerland,3451,2
Aurich,3452,0
Cloppenburg,3453,0
Emsland,3454,0
Friesland,3455,2
Grafschaft Bentheim,3456,0
Leer,3457,0
"Oldenburg, Kreis",3458,2
"Osnabrück, Kreis",3459,2
Vechta,3460,0
Wesermarsch,3461,1
Wittmund,3462,1
Bremen,4011,2
Bremerhaven,4012,2
Düsseldorf,5111,2
Duisburg,5112,2
Essen,5113,2
Krefeld,5114,2
Mönchengladbach,5116,2
Mülheim an der Ruhr,5117,2
Oberhausen,5119,2
Remscheid,5120,2
Solingen,5122,2
Wuppertal,5124,2
Kleve,5154,2
Mettmann,5158,2
Rhein-Kreis Neuss,5162,2
Viersen,5166,2
Wesel,5170,2
Bonn,5314,2
Köln,5315,2
Leverkusen,5316,2
Aachen,5334,2
Düren,5358,2
Rhein-Erft-Kreis,5362,2
Euskirchen,5366,2
Heinsberg,5370,2
Oberbergischer Kreis,5374,2
Rheinisch-Bergischer Kreis,5378,2
Rhein-Sieg-Kreis,5382,2
Bottrop,5512,2
Gelsenkirchen,5513,2
Münster,5515,2
Borken,5554,2
Coesfeld,5558,2
Recklinghausen,5562,2
Steinfurt,5566,2
Warendorf,5570,0
Bielefeld,5711,2
Gütersloh,5754,2
Herford,5758,2
Höxter,5762,0
Lippe,5766,2
Minden-Lübbecke,5770,2
Paderborn,5774,2
Bochum,5911,2
Dortmund,5913,2
Hagen,5914,2
Hamm,5915,2
Herne,5916,2
Ennepe-Ruhr-Kreis,5954,2
Hochsauerlandkreis,5958,0
Märkischer Kreis,5962,2
Olpe,5966,0
Siegen-Wittgenstein,5970,2
Soest,5974,2
Unna,5978,2
Kreisfreie Stadt Darmstadt,6411,2
Kreisfreie Stadt Frankfurt am Main,6412,2
Kreisfreie Stadt Offenbach am Main,6413,2
Landeshauptstadt Wiesbaden,6414,2
Bergstraße,6431,2
Darmstadt-Dieburg,6432,2
Groß-Gerau,6433,2
Hochtaunus,6434,2
Main-Kinzig,6435,2
Main-Taunus,6436,2
Odenwaldkreis,6437,2
Offenbach,6438,2
Rheingau-Taunus,6439,2
Wetterau,6440,2
Gießen,6531,2
Lahn-Dill,6532,2
Limburg-Weilburg,6533,2
Marburg-Biedenkopf,6534,0
Vogelsberg,6535,1
Kreisfreie Stadt Kassel,6611,2
Fulda,6631,0
Hersfeld-Rotenburg,6632,0
Kassel,6633,2
Schwalm-Eder,6634,0
Waldeck-Frankenberg,6635,1
Werra-Meißner,6636,1
Stadt Koblenz,7111,0
Ahrweiler,7131,0
Altenkirchen (Ww),7132,2
Bad Kreuznach,7133,0
Birkenfeld,7134,1
Cochem-Zell,7135,1
Mayen-Koblenz,7137,2
Neuwied,7138,2
Rhein-Hunsrück-Kreis,7140,0
Rhein-Lahn-Kreis,7141,2
Westerwaldkreis,7143,2
Stadt Trier,7211,2
Bernkastel-Wittlich,7231,0
Eifelkreis Bitburg-Prüm,7232,0
Vulkaneifel,7233,1
